Date,CPIAUCSL,UNRATE,FEDFUNDS,INDPRO,Inflation_MoM,Inflation_YoY,IP_MoM,News_Sentiment,Article_Count
2008-01-01,212.174,5.0,3.94,102.2448,0.3447705076970342,4.294695655165981,-0.13234968055378937,-0.2833272932562977,50.0
2008-02-01,212.687,4.9,2.98,101.8438,0.24178268779397882,4.142959270611968,-0.3921959845390677,-0.2039003796565036,30.0
2008-03-01,213.448,5.1,2.61,101.5336,0.3578027806118822,3.9749035501344343,-0.30458407875589844,-0.33441277677843045,43.0
2008-04-01,213.942,5.0,2.28,100.8785,0.2314381020201539,3.9037609759888126,-0.6452051340639975,-0.013229684055070667,34.0
2008-05-01,215.208,5.4,1.98,100.2674,0.5917491656617146,4.088413823123993,-0.6057782381776122,-0.17847193190545746,33.0
2008-06-01,217.463,5.6,2.0,100.0335,1.04782350098509,4.935966105947864,-0.2332762193893445,-0.24270842730998993,50.0
2008-07-01,219.016,5.8,2.01,99.676,0.7141444751521009,5.497512078341837,-0.3573802776070001,-0.3318353027064839,46.0
2008-08-01,218.69,6.1,2.0,98.1111,-0.14884757278006422,5.308017162091239,-1.5699867570929893,-0.2819545500947592,52.0
2008-09-01,218.877,6.1,1.81,93.7895,0.08550916822900323,4.953319875136075,-4.4048023108496315,-0.6003445580601692,15.0
2008-10-01,216.995,6.5,0.97,94.7219,-0.8598436564828615,3.7310578899565128,0.9941411352017093,-0.6462065124545585,11.0
2008-11-01,213.153,6.8,0.39,93.4715,-1.7705477084725474,1.0999174706166848,-1.3200748718089517,-0.9535699808038771,4.0
2008-12-01,211.398,7.3,0.16,90.8357,-0.8233522399403226,-0.02222800255385904,-2.819896973943936,-0.7981005032391598,6.0
2009-01-01,211.933,7.8,0.15,88.57,0.2530771341261451,-0.11358601902212717,-2.4942836351786957,-0.8720051424577833,5.0
2009-02-01,212.705,8.3,0.22,88.031,0.3642660652187324,0.008463140671510772,-0.6085582025516345,-0.7171409905422479,8.0
2009-03-01,212.495,8.7,0.18,86.6528,-0.0987282856538485,-0.4464787676623838,-1.5655848507912018,-0.44522618292830884,8.0
2009-04-01,212.709,9.0,0.15,85.9344,0.10070825195886979,-0.5763244243767063,-0.8290557258392117,-0.8299988375178405,7.0
2009-05-01,213.022,9.4,0.18,85.0665,0.14714939189219844,-1.015761495855172,-1.009956431882919,-0.7564843638489643,6.0
2009-06-01,214.79,9.5,0.21,84.7459,0.8299612246622345,-1.2291746182109153,-0.37688161614736204,-0.8254369009518996,8.0
2009-07-01,214.726,9.5,0.16,85.7027,-0.029796545463012247,-1.9587610037622771,1.129022170984073,-0.47291818128100466,7.0
2009-08-01,215.445,9.6,0.16,86.6426,0.33484533777929926,-1.4838355663267633,1.0966982370450573,-0.5977742962746156,9.0
2009-09-01,215.861,9.8,0.15,87.4063,0.19308872334005134,-1.377942862886472,0.881437075988023,-0.20773527357313368,9.0
2009-10-01,216.509,10.0,0.12,87.6419,0.3001931798703783,-0.22396829420033848,0.26954578788944694,-0.23139688139781356,6.0
2009-11-01,217.234,9.9,0.12,88.0221,0.3348590589767664,1.9145871744709275,0.4338107685935455,-0.2208614201517776,8.0
2009-12-01,217.347,9.9,0.12,88.3793,0.052017639964274665,2.8141231232083674,0.4058071779700745,-0.4020184776080506,7.0
2010-01-01,217.488,9.8,0.11,89.3426,0.06487322116246474,2.6211113889767157,1.089961110803106,-0.20209577508891619,6.0
2010-02-01,217.281,9.8,0.13,89.6779,-0.09517766497462166,2.151336357866529,0.3752968908449006,-0.46139176934957504,9.0
2010-03-01,217.353,9.9,0.16,90.2928,0.03313681361922782,2.2861714393279886,0.6856761810881018,-0.734187935711816,6.0
2010-04-01,217.403,9.9,0.2,90.5991,0.023004053314190642,2.2067707525304403,0.3392297060230698,0.32232181157451123,8.0
2010-05-01,217.29,9.6,0.2,91.823,-0.05197720362644098,2.003548929218568,1.3508964217083586,-0.5244842419400811,5.0
2010-06-01,217.199,9.4,0.18,91.9928,-0.041879515854381655,1.1215605940686268,0.18492098929463463,-0.473495962874343,6.0
2010-07-01,217.605,9.4,0.18,92.3421,0.18692535416828804,1.3407784804821077,0.37970362897965515,-0.6802504030056298,4.0
2010-08-01,217.923,9.5,0.19,92.6805,0.14613634796996067,1.1501775395112546,0.3664634007673584,-0.41310939390677964,8.0
2010-09-01,218.275,9.5,0.19,92.9537,0.1615249422961318,1.1183122472331775,0.2947761395331261,-0.2746585616841912,5.0
2010-10-01,219.035,9.4,0.19,92.6903,0.348184629481163,1.1666951489314625,-0.2833668805007239,-0.14052432961761951,2.0
2010-11-01,219.59,9.8,0.19,92.7709,0.25338416234848005,1.084544776600338,0.08695624029699811,-0.04960178621113302,5.0
2010-12-01,220.472,9.3,0.18,93.6787,0.4016576346828282,1.437793022217937,0.9785396067085728,0.13403939697891473,5.0
2011-01-01,221.187,9.1,0.17,93.4814,0.3243042200370194,1.7007834915029774,-0.21061351192962485,-0.0712239794433117,5.0
2011-02-01,221.898,9.0,0.16,93.1102,0.321447463006419,2.124898173333145,-0.3970843397723911,-0.05283711571246383,4.0
2011-03-01,223.046,9.0,0.14,94.0788,0.51735482068338,2.619241510354109,1.040272709112422,0.35846316739916795,5.0
2011-04-01,224.093,9.1,0.1,93.7749,0.46940989750992035,3.0772344447868694,-0.3230270794270296,-0.12233865633606908,5.0
2011-05-01,224.806,9.0,0.09,93.888,0.3181714734507679,3.4589718808964998,0.1206079665240889,0.6885385972758135,3.0
2011-06-01,224.806,9.1,0.09,94.172,0.0,3.5023181506360412,0.30248807089297003,-0.10534471627324819,5.0
2011-07-01,225.395,9.0,0.07,94.636,0.26200368317570444,3.5798809769996165,0.492715456823678,-0.6086541891563684,4.0
2011-08-01,226.106,9.0,0.1,95.2749,0.3154462166418792,3.75499603070808,0.6751130647956405,-0.404532921500504,5.0
2011-09-01,226.597,9.0,0.08,95.1961,0.21715478580843772,3.812621692818685,-0.08270803747891797,-0.007718726061284542,5.0
2011-10-01,226.75,8.8,0.07,95.8568,0.0675207527019328,3.5222681306640524,0.6940410373954542,0.1756428084336221,4.0
2011-11-01,227.169,8.6,0.08,95.8485,0.18478500551268873,3.451432214581729,-0.008658749301049262,-0.37455685483291745,4.0
2011-12-01,227.223,8.5,0.07,96.3571,0.023770849015480877,3.062066838419386,0.5306290656609036,-0.7889146145433187,5.0
2012-01-01,227.842,8.3,0.08,96.9318,0.27241960540966836,3.0087663379855023,0.596427248225595,-0.16032895147800447,5.0
2012-02-01,228.329,8.3,0.1,97.2435,0.21374461249461518,2.8981784423473878,0.32156629712849494,-0.17023832630366084,4.0
2012-03-01,228.807,8.2,0.13,96.74,0.20934703870292282,2.5828752813320977,-0.5177723960984593,0.14006113819777963,4.0
2012-04-01,229.187,8.2,0.14,97.4359,0.16607883500068255,2.2731633741348567,0.7193508372958624,-0.7870495612733066,4.0
2012-05-01,228.713,8.2,0.16,97.6609,-0.2068180132381081,1.7379429374660749,0.23092104655471068,-0.37835664954036474,4.0
2012-06-01,228.524,8.2,0.16,97.6663,-0.08263631713106845,1.653870448297634,0.005529336715115463,-0.45222470141015947,4.0
2012-07-01,228.59,8.2,0.16,97.8713,0.02888099280600187,1.4175114798464783,0.2098983989359704,-0.18866939772851765,4.0
2012-08-01,229.918,8.1,0.13,97.4525,0.580952797585188,1.6859349154821235,-0.42790889668371523,-0.4418472293764353,5.0
2012-09-01,231.015,7.8,0.14,97.381,0.47712662775423187,1.9497168982819613,-0.07336907724275754,-0.29488083682954314,5.0
2012-10-01,231.638,7.8,0.16,97.7193,0.26967945804385884,2.1556780595369363,0.3473983631303801,0.0873240265995264,5.0
2012-11-01,231.249,7.7,0.16,98.0777,-0.16793444944266378,1.7960197033926262,0.3667648049054728,0.08439864311367272,4.0
2012-12-01,231.221,7.9,0.16,98.3101,-0.012108160467716456,1.7595049796895523,0.2369549856899411,-0.1594279188662767,5.0
2013-01-01,231.679,8.0,0.14,98.3342,0.1980788942180789,1.684061762098299,0.024514266591113554,0.0512394633454581,6.0
2013-02-01,232.937,7.7,0.15,98.7941,0.5429926752100966,2.0181404902574807,0.46769079323369933,-0.19606648245826372,6.0
2013-03-01,232.282,7.5,0.14,99.1921,-0.28119191025899326,1.5187472411246183,0.40285806541078273,0.1303993675392121,8.0
2013-04-01,231.797,7.6,0.15,99.1065,-0.2087979266581219,1.138808047576867,-0.08629719503872035,-0.5192794523512324,6.0
2013-05-01,231.893,7.5,0.11,99.1839,0.041415548950163306,1.3903888279197085,0.07809780387764143,-0.13461870141327384,12.0
2013-06-01,232.445,7.5,0.09,99.3897,0.23804082055085551,1.7157935271568725,0.20749335325593865,-0.050241171128370544,11.0
2013-07-01,232.9,7.3,0.09,99.0814,0.19574523005443378,1.885471805415806,-0.31019310854143445,0.15211299445050266,13.0
2013-08-01,233.456,7.2,0.08,99.6543,0.23872906826962748,1.538809488600279,0.5782114503832148,-0.03434993677462138,15.0
2013-09-01,233.544,7.2,0.08,100.161,0.037694469193350066,1.0947341081747997,0.5084577384016464,-0.20877158598831067,13.0
2013-10-01,233.669,7.2,0.09,100.082,0.053523104853914205,0.8767991434911471,-0.07887301444674533,-0.39000229979865253,14.0
